# gymnasium_monitor_version=1.0
# env_id=FJSPEnv t_start=1787234158.5476165
r,l,t,makespan,success
-8.717720365524293,120,13.174746990203857,207.8543758392334,1
-12.780543708801272,120,24.50042152404785,269.3690586090088,1
-7.886218714714051,120,36.1848931312561,192.26322746276855,1
-10.331473350524902,120,48.210601568222046,292.4998393058777,1
-7.523111152648926,120,62.08798408508301,204.57639122009277,1
-9.391844558715821,120,74.23044228553772,197.88811826705933,1
-6.897952365875245,120,86.95667624473572,189.79705381393433,1
-8.470187568664551,120,98.92140984535217,237.84434390068054,1
-8.075647068023683,120,114.30305337905884,203.59952592849731,1
-7.186059665679933,120,126.34923839569092,195.2882218360901,1
-9.111311459541321,120,137.66139817237854,193.66583442687988,1
-4.19005446434021,120,149.32836484909058,183.71678066253662,1
-14.17889895439148,120,168.25074362754822,268.0165183544159,1
-4.491670560836792,120,180.05155229568481,193.48585081100464,1
-4.34595513343811,120,190.89213514328003,201.13349866867065,1
-10.854658699035642,120,202.98891878128052,229.01046514511108,1
-7.387324714660645,120,214.7720227241516,230.36565399169922,1
-9.649559354782104,120,229.3368375301361,263.9848747253418,1
-9.626344585418702,120,241.2503218650818,254.69051599502563,1
-7.8166522026062015,120,253.1660099029541,201.80296993255615,1
-10.072076797485353,120,265.08797955513,259.8768422603607,1
-8.094711494445802,120,297.5754325389862,196.89348602294922,1
-7.201535224914552,120,309.3900775909424,196.794930934906,1
-19.176497077941892,120,321.4572055339813,302.01806569099426,1
-9.487422370910645,120,333.9561038017273,210.52862691879272,1
-9.966797065734864,120,366.23384308815,263.21273279190063,1
-14.398918437957763,120,378.58350372314453,250.7673487663269,1
-6.056395053863526,120,390.6816346645355,217.4937243461609,1
-8.38315019607544,120,402.3152632713318,231.11108112335205,1
-9.0069016456604,120,425.6064875125885,203.83782505989075,1
-16.890872478485107,120,437.63575434684753,286.4380350112915,1
-8.600720405578613,120,449.6323127746582,222.2439408302307,1
-14.453469944000245,120,461.5426983833313,296.65255093574524,1
-8.003268575668335,120,473.47555017471313,213.88041019439697,1
-8.679599857330322,120,645.249184846878,210.59554529190063,1
-7.851599311828614,120,657.3516352176666,188.23524165153503,1
-12.743821907043458,120,669.3338997364044,250.19170951843262,1
-13.751868057250977,120,680.6395955085754,266.4476788043976,1
-4.2396868705749515,120,705.8590402603149,203.64402556419373,1
-11.130900669097901,120,718.3112261295319,229.74909114837646,1
-6.408526849746704,120,730.6898174285889,194.8981409072876,1
-9.324598789215088,120,742.7827286720276,222.08586645126343,1
-5.986435317993164,120,794.1476047039032,190.98405933380127,1
-8.116049432754517,120,805.9746360778809,252.81915521621704,1
-7.054062390327454,120,817.6633877754211,180.46427392959595,1
-20.78543758392334,120,12.397767782211304,207.8543758392334,1
-26.93690586090088,120,23.630362510681152,269.3690586090088,1
-19.226322746276857,120,34.77365827560425,192.26322746276855,1
-29.24998393058777,120,45.99466919898987,292.4998393058777,1
-21.77914254665375,120,64.14377069473267,217.79142546653748,1
-20.475380182266235,120,75.83204674720764,204.75380182266235,1
-20.212751150131226,120,86.25051474571228,202.12751150131226,1
-29.056938320398334,120,97.4795970916748,290.5693832039833,1
-23.391733050346375,120,134.3684151172638,233.91733050346375,1
-19.943534803390502,120,145.89905834197998,199.43534803390503,1
-26.676066160202026,120,156.83889746665955,266.76066160202026,1
-23.833317947387698,120,167.74918389320374,238.33317947387695,1
-24.147257208824158,120,204.46897625923157,241.47257208824158,1
-27.29894814491272,120,216.2568552494049,272.9894814491272,1
-25.41902165412903,120,227.04354453086853,254.19021654129028,1
-24.18356511592865,120,237.83877444267273,241.8356511592865,1
-27.354224991798404,120,249.32561326026917,273.542249917984,1
-28.22920427322388,120,273.2254626750946,282.29204273223877,1
-25.277534937858583,120,284.88029289245605,252.77534937858582,1
-28.474161195755006,120,295.34510469436646,284.74161195755005,1
-24.039595770835877,120,306.86704778671265,240.39595770835876,1
-24.986764478683472,120,351.7588527202606,249.86764478683472,1
-23.92156300544739,120,364.1881639957428,239.21563005447388,1
-20.66484823226929,120,376.6408107280731,206.64848232269287,1
-23.393607664108277,120,389.15238189697266,233.93607664108276,1
-22.935773730278015,120,410.60410737991333,229.35773730278015,1
-24.088345050811768,120,421.99414920806885,240.88345050811768,1
-25.519283866882326,120,434.3117275238037,255.19283866882324,1
-24.938567876815796,120,446.16117119789124,249.38567876815796,1
-19.716102480888367,120,479.04031467437744,197.16102480888367,1
-25.61646308898926,120,491.2599720954895,256.1646308898926,1
-23.20991551876068,120,503.1009199619293,232.0991551876068,1
-21.628175854682922,120,514.688146352768,216.28175854682922,1
-25.01961314678192,120,526.187917470932,250.1961314678192,1
-28.412015771865846,120,700.1858792304993,284.12015771865845,1
-18.771156215667727,120,711.9980900287628,187.71156215667725,1
-27.9068026304245,120,723.8362617492676,279.068026304245,1
-22.53279917240143,120,735.5400760173798,225.32799172401428,1
-19.7080890417099,120,762.2465093135834,197.080890417099,1
-26.012033128738405,120,774.2674174308777,260.12033128738403,1
-27.20417377948761,120,785.3700006008148,272.0417377948761,1
-22.505725765228274,120,796.5021078586578,225.05725765228271,1
-23.690359354019165,120,814.6542816162109,236.90359354019165,1
-27.901473999023438,120,824.8629944324493,279.0147399902344,1
-23.866205883026126,120,836.3838152885437,238.66205883026123,1
-22.045004892349244,120,848.0211732387543,220.45004892349243,1
-31.167771720886233,120,864.0398275852203,311.6777172088623,1
-27.160541129112246,120,875.4906461238861,271.60541129112244,1
-19.4688903093338,120,886.9259116649628,194.688903093338,1
-24.57670431137085,120,898.2697052955627,245.7670431137085,1
-18.661482214927673,120,908.9498236179352,186.61482214927673,1
-27.832424378395082,120,931.5543284416199,278.3242437839508,1
-18.15870227813721,120,942.8046860694885,181.58702278137207,1
-20.841779613494875,120,954.1939890384674,208.41779613494873,1
-19.541158747673038,120,965.6180045604706,195.41158747673035,1
-23.076057410240175,120,986.8126683235168,230.76057410240173,1
-24.792293453216555,120,998.5489428043365,247.92293453216553,1
-21.361004662513736,120,1010.2443108558655,213.61004662513733,1
-20.883893394470217,120,1022.035343170166,208.83893394470215,1
-24.003537034988405,120,1048.9978187084198,240.03537034988403,1
-21.705457496643067,120,1060.3769001960754,217.05457496643066,1
-20.67272334098816,120,1071.8851296901703,206.7272334098816,1
-21.78683500289917,120,1084.1818299293518,217.8683500289917,1
-18.763480210304262,120,1096.6754784584045,187.6348021030426,1
-20.827823317050935,120,1111.6320576667786,208.27823317050934,1
-24.435892963409426,120,1123.609896183014,244.35892963409424,1
-22.788741397857667,120,1135.7548048496246,227.88741397857666,1
-20.903982830047607,120,1147.7824182510376,209.03982830047607,1
-24.43288230895996,120,1323.9360492229462,244.3288230895996,1
-20.700480389595032,120,1335.0744676589966,207.00480389595032,1
-28.484440088272095,120,1346.7775011062622,284.84440088272095,1
-23.055322027206422,120,1358.4836089611053,230.5532202720642,1
-21.62585163116455,120,1395.0687325000763,216.2585163116455,1
-24.217997479438782,120,1406.8843319416046,242.17997479438782,1
-22.71887652873993,120,1418.3491034507751,227.1887652873993,1
-19.926727974414828,120,1430.1014754772186,199.26727974414825,1
-19.17237572669983,120,1466.3650472164154,191.7237572669983,1
-21.81001958847046,120,1478.4939041137695,218.1001958847046,1
-23.441885232925415,120,1489.6518332958221,234.41885232925415,1
-17.674711322784425,120,1500.535430431366,176.74711322784424,1
-25.041292190551758,120,1512.2357969284058,250.41292190551758,1
-22.24757671356201,120,1541.1557314395905,222.47576713562012,1
-21.015349197387696,120,1553.1799976825714,210.15349197387695,1
-19.25184636116028,120,1565.0040531158447,192.51846361160278,1
-23.436304569244385,120,1577.3014507293701,234.36304569244385,1
-18.83536882400513,120,1620.6084549427032,188.35368824005127,1
-24.76261765956879,120,1632.4305503368378,247.62617659568787,1
-30.706318092346194,120,1644.7869460582733,307.0631809234619,1
-21.787182950973513,120,1656.234697341919,217.8718295097351,1
-24.305752158164978,120,1670.802626132965,243.05752158164978,1
-25.033994245529176,120,1681.5556161403656,250.33994245529175,1
-25.273615026474,120,1692.9883570671082,252.73615026474,1
-22.872788643836977,120,1705.4585886001587,228.72788643836975,1
-24.547647452354433,120,1723.0679469108582,245.4764745235443,1
-20.817814064025878,120,1734.6883935928345,208.1781406402588,1
-21.274125814437866,120,1746.2624778747559,212.74125814437866,1
-25.289788866043093,120,1757.738203048706,252.8978886604309,1
-21.149836254119876,120,1769.6707634925842,211.49836254119873,1
-22.48744888305664,120,1795.7749707698822,224.8744888305664,1
-18.889398169517516,120,1807.2199199199677,188.89398169517517,1
-20.608422946929934,120,1818.0697548389435,206.08422946929932,1
-24.894313621520997,120,1829.7799837589264,248.94313621520996,1
-19.15410294532776,120,2005.5775377750397,191.5410294532776,1
-23.290120840072632,120,2016.69296169281,232.90120840072632,1
-21.69358620643616,120,2027.9206488132477,216.93586206436157,1
-19.379127883911135,120,2038.1243488788605,193.79127883911133,1
-18.217484736442568,120,2056.730302810669,182.17484736442566,1
-21.976177978515626,120,2067.5812752246857,219.76177978515625,1
-23.67165954113007,120,2078.249153614044,236.71659541130066,1
-25.88858029842377,120,2089.158757686615,258.88580298423767,1
-19.20044417381287,120,2115.089385986328,192.00444173812866,1
-17.141085767745974,120,2126.316164255142,171.41085767745972,1
-21.821668672561646,120,2137.347687482834,218.21668672561646,1
-27.1715637922287,120,2147.241894006729,271.715637922287,1
-22.70931158065796,120,2158.149484872818,227.0931158065796,1
-29.428745555877686,120,2196.0251586437225,294.28745555877686,1
-17.812017560005188,120,2206.9181718826294,178.12017560005188,1
-20.636255550384522,120,2217.422884941101,206.36255550384521,1
-19.639500522613528,120,2227.965365409851,196.39500522613525,1
-22.69202222824097,120,2277.8150255680084,226.92022228240967,1
-17.254486894607545,120,2288.653113603592,172.54486894607544,1
-24.374302387237552,120,2299.293198108673,243.7430238723755,1
-24.030129694938662,120,2309.2979261875153,240.3012969493866,1
-18.554588222503664,120,2352.6816828250885,185.54588222503662,1
-20.28459620475769,120,2363.9023127555847,202.8459620475769,1
-18.547941112518313,120,2375.109051465988,185.4794111251831,1
-19.483207559585573,120,2385.955288887024,194.8320755958557,1
-23.576932001113892,120,2396.869267463684,235.76932001113892,1
-18.373457527160646,120,2415.0546696186066,183.73457527160645,1
-20.938905477523804,120,2426.033087491989,209.38905477523804,1
-21.022223472595215,120,2436.936781167984,210.22223472595215,1
-20.40372284650803,120,2446.6298472881317,204.03722846508026,1
-16.756529211997986,120,2497.0424683094025,167.56529211997986,1
-16.236643385887145,120,2508.0332889556885,162.36643385887146,1
-16.984153270721436,120,2518.9056899547577,169.84153270721436,1
-17.193167209625244,120,2528.623120069504,171.93167209625244,1
-19.62910203933716,120,2714.632682323456,196.29102039337158,1
-18.419464039802552,120,2725.4095084667206,184.1946403980255,1
-17.883330726623537,120,2735.843369960785,178.83330726623535,1
-21.696325302124023,120,2746.3695271015167,216.96325302124023,1
-22.39481728076935,120,2779.0177166461945,223.94817280769348,1
-18.08717694282532,120,2790.3696315288544,180.87176942825317,1
-21.706539773941042,120,2801.2042367458344,217.0653977394104,1
-19.389984750747683,120,2812.3754539489746,193.8998475074768,1
-18.44547476768494,120,2823.6837904453278,184.45474767684937,1
-15.692053270339967,120,2873.3020079135895,156.92053270339966,1
-21.031618690490724,120,2883.7196819782257,210.31618690490723,1
-19.343361854553223,120,2894.650286912918,193.43361854553223,1
-17.730633544921876,120,2905.725333213806,177.30633544921875,1
-14.984188461303711,120,2956.0133018493652,149.8418846130371,1
-17.20254638195038,120,2966.792043685913,172.02546381950378,1
-16.041126346588136,120,2978.185137271881,160.41126346588135,1
-16.42635145187378,120,2989.3441500663757,164.2635145187378,1
-20.73568744659424,120,3039.396933078766,207.35687446594238,1
-17.10665135383606,120,3049.9980845451355,171.0665135383606,1
-19.66668679714203,120,3060.896661043167,196.6668679714203,1
-16.078074264526368,120,3072.332981824875,160.78074264526367,1
-19.21894760131836,120,3096.3575072288513,192.1894760131836,1
-18.630500745773315,120,3107.945463180542,186.30500745773315,1
-24.017154383659364,120,3118.4022147655487,240.17154383659363,1
-16.45716028213501,120,3129.536908864975,164.5716028213501,1
-19.58011193275452,120,3140.919912815094,195.80111932754517,1
-14.74270715713501,120,3190.6532909870148,147.4270715713501,1
-18.005403518676758,120,3201.617461681366,180.05403518676758,1
-17.337832021713258,120,3212.0373344421387,173.37832021713257,1
-16.573740792274478,120,3223.1075913906097,165.73740792274475,1
-18.505839180946353,120,3273.238916873932,185.0583918094635,1
-18.208655643463135,120,3284.7943918704987,182.08655643463135,1
-18.27670328617096,120,3295.209491968155,182.7670328617096,1
-21.690667867660522,120,3306.261226415634,216.90667867660522,1
-18.013343143463135,120,3499.505209207535,180.13343143463135,1
-16.856774759292602,120,3510.6213788986206,168.56774759292603,1
-17.407223749160767,120,3522.1525123119354,174.07223749160767,1
-16.600666475296023,120,3533.6090066432953,166.0066647529602,1
-17.45744569301605,120,3548.7274651527405,174.57445693016052,1
-19.113711404800416,120,3560.29606962204,191.13711404800415,1
-19.20175261497498,120,3570.7467834949493,192.01752614974976,1
-18.52133846282959,120,3581.9064457416534,185.2133846282959,1
-20.46618165969849,120,3593.1585829257965,204.66181659698486,1
-20.051372861862184,120,3643.0748314857483,200.51372861862183,1
-17.505320501327514,120,3653.31432390213,175.05320501327515,1
-17.020342111587524,120,3664.188966989517,170.20342111587524,1
-22.145899319648745,120,3675.5620601177216,221.45899319648743,1
-17.67726607322693,120,3718.920105934143,176.7726607322693,1
-18.108268332481387,120,3730.0688242912292,181.08268332481384,1
-16.23045244216919,120,3741.1427087783813,162.3045244216919,1
-15.281636667251588,120,3752.1859674453735,152.81636667251587,1
