# gymnasium_monitor_version=1.0
# env_id=FJSPEnv t_start=1787234158.539382
r,l,t,makespan,success
-8.664541912078858,120,13.079071283340454,233.38769435882568,1
-9.69354419708252,120,24.36153793334961,210.66580247879028,1
-9.001910734176635,120,36.089683532714844,219.99077796936035,1
-6.940899848937989,120,48.118399143218994,212.05412769317627,1
-5.291342449188233,120,61.98089909553528,204.82449507713318,1
-8.45907907485962,120,74.17219233512878,217.48310685157776,1
-10.538440227508547,120,86.87127041816711,220.40147042274475,1
-12.262384271621706,120,98.81681251525879,230.95928072929382,1
-10.47286548614502,120,114.23441910743713,242.07884407043457,1
-4.351628303527832,120,126.27167677879333,166.13806295394897,1
-7.639457798004151,120,137.5239975452423,197.78321766853333,1
-6.015754795074463,120,149.22909379005432,256.7151815891266,1
-4.818005466461182,120,168.1342830657959,185.0039553642273,1
-8.535452890396119,120,179.91485500335693,289.4550976753235,1
-6.960728645324707,120,190.75261640548706,189.31477308273315,1
-10.370372200012207,120,202.90434670448303,223.8165111541748,1
-10.417599630355834,120,214.68205952644348,250.03893947601318,1
-11.705051040649412,120,229.24558329582214,248.90002536773682,1
-10.46600513458252,120,241.15544295310974,303.63686895370483,1
-6.89148292541504,120,253.0651364326477,215.33046233654022,1
-7.794012784957887,120,264.98728680610657,199.53847789764404,1
-11.079086589813233,120,297.4894165992737,244.68756890296936,1
-6.790268278121948,120,309.29825091362,242.30281114578247,1
-11.496766948699952,120,321.3244400024414,261.3450210094452,1
-5.125578498840333,120,333.8755519390106,191.65482330322266,1
-13.1455539226532,120,366.13793325424194,256.5255913734436,1
-5.767050647735596,120,378.48697543144226,182.17584133148193,1
-9.131224298477173,120,390.60691118240356,207.47259759902954,1
-15.659831428527829,120,402.18067169189453,259.35594058036804,1
-10.444804573059082,120,425.5298628807068,228.36147665977478,1
-5.65995979309082,120,437.51447558403015,225.24544858932495,1
-14.44550909996033,120,449.55435585975647,241.25658559799194,1
-7.046832895278931,120,461.43057203292847,216.7296760082245,1
-9.13648729324341,120,473.40856099128723,260.49161076545715,1
-10.94440803527832,120,645.165477514267,253.38085055351257,1
-8.905398654937743,120,657.2853357791901,279.1144804954529,1
-11.111143684387207,120,669.2225210666656,230.34225153923035,1
-7.751482009887696,120,680.5122964382172,218.72623991966248,1
-9.324793052673341,120,705.7765114307404,216.24137330055237,1
-11.288940715789794,120,718.21062707901,246.1990315914154,1
-12.27003507614136,120,730.6079614162445,312.30513429641724,1
-6.419348430633545,120,742.6993024349213,192.09975576400757,1
-8.192003059387208,120,794.029123544693,218.2093482017517,1
-9.897126960754393,120,805.8323936462402,219.2219729423523,1
-7.943995952606202,120,817.5879280567169,231.48631858825684,1
-23.33876943588257,120,12.340914964675903,233.38769435882568,1
-21.066580247879028,120,23.550875663757324,210.66580247879028,1
-21.999077796936035,120,34.70294904708862,219.99077796936035,1
-21.20541276931763,120,45.88662314414978,212.05412769317627,1
-26.22751979827881,120,64.0705018043518,262.2751979827881,1
-25.73833546638489,120,75.7685124874115,257.3833546638489,1
-20.94141697883606,120,86.16353368759155,209.4141697883606,1
-20.591651630401614,120,97.40204048156738,205.9165163040161,1
-24.81665771007538,120,134.2936716079712,248.16657710075378,1
-19.83117733001709,120,145.81588411331177,198.3117733001709,1
-18.702276945114136,120,156.68915581703186,187.02276945114136,1
-26.109877634048463,120,167.67868638038635,261.0987763404846,1
-25.346046614646912,120,204.3807783126831,253.46046614646912,1
-28.28947038650513,120,216.1698865890503,282.89470386505127,1
-19.55972135066986,120,226.9226131439209,195.5972135066986,1
-23.807789874076846,120,237.7579436302185,238.07789874076843,1
-26.876657724380493,120,249.2198543548584,268.76657724380493,1
-20.92319359779358,120,273.1380863189697,209.2319359779358,1
-29.543366527557374,120,284.7796051502228,295.43366527557373,1
-31.593960094451905,120,295.22465538978577,315.93960094451904,1
