# gymnasium_monitor_version=1.0
# env_id=FJSPEnv t_start=1787234158.5320418
r,l,t,makespan,success
-7.857126045227051,120,12.956196546554565,217.13978147506714,1
-7.851477241516114,120,24.21658205986023,207.15481805801392,1
-10.269511699676515,120,36.007479667663574,239.44572973251343,1
-8.121908760070802,120,48.043858766555786,202.88965511322021,1
-5.970816230773926,120,61.85659694671631,200.4367778301239,1
-2.7202683448791505,120,74.07937026023865,232.6631143093109,1
-9.657551956176759,120,86.75964021682739,236.76333379745483,1
-12.583018684387207,120,98.71478271484375,283.38715267181396,1
-13.170875930786133,120,114.15698027610779,243.8502552509308,1
-11.17622709274292,120,126.20100569725037,282.95042610168457,1
-8.403242874145509,120,137.43306398391724,213.29655599594116,1
-8.152823448181152,120,149.12340474128723,219.32268524169922,1
-10.78109302520752,120,168.05443239212036,223.46806263923645,1
-8.478158950805664,120,179.73398351669312,253.1302936077118,1
-7.1201586723327654,120,190.6549198627472,206.43137121200562,1
-5.493760871887207,120,202.8185567855835,212.41748666763306,1
-9.513855314254762,120,214.58092832565308,206.19358658790588,1
-11.408401775360106,120,229.1515793800354,240.49045085906982,1
-7.848605585098267,120,241.04451203346252,196.5255913734436,1
-8.289651679992678,120,252.98230648040771,226.934166431427,1
-13.576324701309206,120,264.8980073928833,264.65725469589233,1
-10.642104053497315,120,297.3887207508087,243.73192167282104,1
-3.3612337589263923,120,309.227255821228,193.65359091758728,1
-9.354423999786377,120,321.2295649051666,246.24615931510925,1
-16.140210247039796,120,333.78048491477966,291.3118393421173,1
-12.594363927841187,120,366.0476529598236,273.7549624443054,1
-7.093132209777831,120,378.4040825366974,242.139506816864,1
-9.592470169067383,120,390.52819633483887,283.97619438171387,1
-10.92200336456299,120,402.0522925853729,258.47113513946533,1
-13.45867714881897,120,425.45602583885193,243.55549788475037,1
-12.819343185424808,120,437.42458963394165,233.858726978302,1
-6.2854814529418945,120,449.46051025390625,186.06560707092285,1
-7.33157205581665,120,461.32613921165466,198.43647265434265,1
-13.32819390296936,120,473.3217685222626,276.9225273132324,1
-12.507451105117799,120,645.0609250068665,244.80129051208496,1
-10.209001636505128,120,657.1748652458191,239.19117212295532,1
-5.492686748504639,120,669.1308829784393,213.72527647018433,1
-12.150750923156737,120,680.3663246631622,225.84025168418884,1
-8.459382724761964,120,705.6801805496216,233.3257303237915,1
-5.84693775177002,120,718.114021062851,192.9473135471344,1
-12.759803962707519,120,730.5028364658356,243.1317527294159,1
-7.233444404602051,120,742.6259722709656,236.71075820922852,1
-8.870911026000979,120,793.8698208332062,219.57689023017883,1
-12.445912408828736,120,805.6850628852844,229.84163999557495,1
-4.344209671020508,120,817.5097758769989,171.2704153060913,1
-21.713978147506715,120,12.262603521347046,217.13978147506714,1
-20.715481805801392,120,23.48137068748474,207.15481805801392,1
-23.944572973251343,120,34.6307737827301,239.44572973251343,1
-20.288965511322022,120,45.78692579269409,202.88965511322021,1
-23.72416813373566,120,63.995017528533936,237.24168133735657,1
-26.62843372821808,120,75.67933487892151,266.2843372821808,1
-24.339314842224123,120,86.04439520835876,243.3931484222412,1
-28.309110856056215,120,97.33934473991394,283.09110856056213,1
-22.932200741767883,120,134.22474837303162,229.32200741767883,1
-28.777699160575867,120,145.7524070739746,287.77699160575867,1
-25.949882745742798,120,156.5757040977478,259.498827457428,1
-24.404186248779297,120,167.59492087364197,244.04186248779297,1
-22.15625834465027,120,204.28631281852722,221.56258344650269,1
-27.069422268867495,120,216.09957838058472,270.6942226886749,1
-24.331616735458375,120,226.7988646030426,243.31616735458374,1
-19.708250284194946,120,237.67614245414734,197.08250284194946,1
-19.6549320936203,120,249.1385793685913,196.549320936203,1
-21.97736644744873,120,273.08133721351624,219.7736644744873,1
-26.43742916584015,120,284.64254784584045,264.3742916584015,1
-21.969457602500917,120,295.0762219429016,219.69457602500916,1
-25.278857707977295,120,306.71896529197693,252.78857707977295,1
-28.413702273368838,120,351.42010402679443,284.13702273368835,1
-29.053400397300724,120,364.0058445930481,290.5340039730072,1
-23.502465844154358,120,376.45941066741943,235.02465844154358,1
-22.018575334548952,120,388.9596998691559,220.1857533454895,1
-20.70542812347412,120,410.34542989730835,207.0542812347412,1
-29.602116703987125,120,421.84521865844727,296.0211670398712,1
-28.757001161575317,120,434.15561032295227,287.5700116157532,1
-20.82132811546326,120,445.98688435554504,208.21328115463257,1
-21.620753812789918,120,478.88820791244507,216.20753812789917,1
-23.958575129508972,120,491.06494069099426,239.58575129508972,1
-23.31494326591492,120,502.9412417411804,233.14943265914917,1
-21.541254806518555,120,514.5129714012146,215.41254806518555,1
-22.802029991149904,120,526.0501074790955,228.02029991149902,1
-21.808844041824344,120,700.0060286521912,218.0884404182434,1
-22.648645162582397,120,711.8513112068176,226.48645162582397,1
