# gymnasium_monitor_version=1.0
# env_id=FJSPEnv t_start=1787234158.5550802
r,l,t,makespan,success
-2.964265632629395,120,13.253286600112915,179.0505838394165,1
-6.471281814575195,120,24.645824193954468,199.2083339691162,1
-6.3923845291137695,120,36.269952058792114,197.87805938720703,1
-4.891556262969971,120,48.28502655029297,190.01580286026,1
-9.420369148254395,120,62.17184638977051,237.26939821243286,1
-6.005592870712281,120,74.31502485275269,188.9483892917633,1
-9.530598592758178,120,87.0145480632782,212.14758348464966,1
-7.53280954360962,120,99.00798964500427,209.18444895744324,1
-11.980855321884155,120,114.39864611625671,267.04257678985596,1
-7.642334079742432,120,126.43310880661011,173.47827339172363,1
-9.231364727020265,120,137.8030092716217,238.18018341064453,1
-5.424376106262208,120,149.44309425354004,175.861225605011,1
-8.238391208648682,120,168.3582944869995,207.85741758346558,1
-4.717381572723389,120,180.22793626785278,211.918776512146,1
-10.722363567352295,120,191.01228308677673,222.2303111553192,1
-10.543660163879396,120,203.06109762191772,259.37994289398193,1
-9.8703218460083,120,214.86040806770325,235.46864533424377,1
-9.402249598503111,120,229.43663263320923,237.317045211792,1
-7.819864869117738,120,241.31088423728943,182.4113585948944,1
-9.984394454956055,120,253.25151538848877,202.09821009635925,1
-10.390585613250732,120,265.1791977882385,240.4517467021942,1
-7.792866897583008,120,297.6680157184601,225.50245928764343,1
-9.917319345474244,120,309.49083137512207,274.5631265640259,1
-6.809889602661133,120,321.5653717517853,239.56742405891418,1
-9.451443767547609,120,334.04110956192017,240.85897016525269,1
-6.098416519165039,120,366.31792736053467,196.60169124603271,1
-14.908679461479188,120,378.70910382270813,276.28474497795105,1
-12.62665915489197,120,390.76719427108765,242.0374050140381,1
-11.056795120239258,120,402.45438599586487,225.123681306839,1
-7.30438871383667,120,425.69392490386963,214.25482964515686,1
-11.554858779907228,120,437.7366178035736,257.283673286438,1
-14.83803896903992,120,449.7631137371063,262.8442876338959,1
-9.923686695098876,120,461.64496517181396,232.95151209831238,1
-14.15099220275879,120,473.56355834007263,273.2422893047333,1
-6.610780715942383,120,645.3260180950165,204.6569789648056,1
-10.488630771636963,120,657.4378669261932,238.63947653770447,1
-12.012953615188598,120,669.4163746833801,266.73400592803955,1
-11.02565336227417,120,680.7735042572021,226.17946767807007,1
-9.999873542785647,120,705.9538013935089,248.8204324245453,1
-8.544662904739381,120,718.4166224002838,245.62505292892456,1
-5.270805454254151,120,730.7531373500824,180.14876198768616,1
-8.802012825012207,120,742.8673379421234,249.91071677207947,1
-6.31297779083252,120,794.2544238567352,218.53009939193726,1
-14.54168815612793,120,806.1085977554321,247.68735885620117,1
-9.784656715393067,120,817.7533097267151,200.00179362297058,1
-17.90505838394165,120,12.467020273208618,179.0505838394165,1
-19.920833396911622,120,23.69851851463318,199.2083339691162,1
-19.787805938720705,120,34.84848594665527,197.87805938720703,1
-19.001580286026,120,46.09418296813965,190.01580286026,1
-26.016941118240357,120,64.21524095535278,260.16941118240356,1
-25.307301330566407,120,75.91067385673523,253.07301330566406,1
-17.884733200073242,120,86.33697557449341,178.84733200073242,1
-18.893891191482545,120,97.55705571174622,188.93891191482544,1
-23.681126403808594,120,134.4342737197876,236.81126403808594,1
-22.141660881042483,120,145.97472834587097,221.4166088104248,1
-30.218264389038087,120,156.97342491149902,302.18264389038086,1
-19.933265495300294,120,167.8070456981659,199.33265495300293,1
-23.244018745422366,120,204.5478720664978,232.44018745422363,1
-24.38399298191071,120,216.3533594608307,243.83992981910706,1
-20.609910011291504,120,227.15951299667358,206.09910011291504,1
-25.357777404785157,120,237.9097180366516,253.57777404785156,1
-25.605631661415103,120,249.42806720733643,256.056316614151,1
-24.139745712280273,120,273.28563141822815,241.39745712280273,1
-18.950187611579896,120,284.9482035636902,189.50187611579895,1
-19.6975567817688,120,295.44242429733276,196.975567817688,1
-24.98501846790314,120,306.93441677093506,249.85018467903137,1
-22.3977356672287,120,351.8696119785309,223.977356672287,1
-30.369556427001957,120,364.2882614135742,303.69556427001953,1
-26.68186001777649,120,376.7276842594147,266.8186001777649,1
-22.7977840423584,120,389.2307574748993,227.97784042358398,1
-23.363117265701295,120,410.7095715999603,233.63117265701294,1
-20.40934295654297,120,422.0831871032715,204.0934295654297,1
-21.92075802087784,120,434.3907787799835,219.20758020877838,1
-21.20270528793335,120,446.23616671562195,212.0270528793335,1
-27.74063506126404,120,479.18073892593384,277.4063506126404,1
-29.283040475845336,120,491.3517415523529,292.83040475845337,1
-20.715354681015015,120,503.1836154460907,207.15354681015015,1
-23.80012049674988,120,514.7670388221741,238.00120496749878,1
-28.380448436737062,120,526.270176410675,283.8044843673706,1
-26.032396268844607,120,700.2729761600494,260.32396268844604,1
-24.300700187683105,120,712.0809323787689,243.00700187683105,1
-21.754814815521243,120,723.936030626297,217.5481481552124,1
-23.127596879005434,120,735.6214127540588,231.27596879005432,1
-25.157020235061648,120,762.334478855133,251.57020235061646,1
