# gymnasium_monitor_version=1.0
# env_id=FJSPEnv t_start=1787234158.579214
r,l,t,makespan,success
-6.902098369598389,120,13.544941425323486,242.1416449546814,1
-9.549678242206575,120,25.035815000534058,235.1952452659607,1
-3.279495429992676,120,36.510560274124146,197.54153728485107,1
-8.184672832489014,120,48.871010303497314,253.27103853225708,1
-9.9434175491333,120,62.445712089538574,201.8917908668518,1
-9.843948936462402,120,74.5979151725769,249.80515480041504,1
-8.360856819152833,120,87.28274130821228,223.53114080429077,1
-11.911325359344483,120,99.31206798553467,255.00577449798584,1
-9.271248054504396,120,114.67776393890381,227.51461553573608,1
-11.705382204055788,120,126.6664047241211,252.35591626167297,1
-6.966558933258057,120,138.17999029159546,207.222065448761,1
-8.487155437469482,120,149.76379585266113,212.3083300590515,1
-7.867665338516236,120,168.6042501926422,200.41192054748535,1
-6.559337711334229,120,180.54203820228577,218.2959337234497,1
-12.464398479461671,120,191.44743275642395,296.2078764438629,1
-10.14248390197754,120,203.34475755691528,249.1163477897644,1
-6.276121711730957,120,215.10646271705627,203.63930130004883,1
-10.86685724258423,120,229.7365734577179,252.09302473068237,1
-15.195723581314086,120,241.58643579483032,271.6736190319061,1
-6.446882915496826,120,253.49393224716187,216.6723210811615,1
-8.36723680496216,120,265.42600989341736,204.67744946479797,1
-14.720459365844729,120,297.9297549724579,280.9291093349457,1
-10.215225601196291,120,309.81879019737244,228.69134998321533,1
-11.298747730255128,120,321.97680377960205,238.13351821899414,1
-8.488600444793702,120,334.3073675632477,214.9871391057968,1
-8.9495059967041,120,366.6053605079651,211.96506214141846,1
-9.745621013641358,120,379.0161051750183,233.86026883125305,1
-9.839648532867432,120,391.07618856430054,238.70097732543945,1
-12.543642044067383,120,402.8741018772125,255.38623785972595,1
-11.209975242614748,120,425.9998438358307,246.03643321990967,1
-8.843031692504884,120,438.00319600105286,214.84279489517212,1
-10.512855768203737,120,450.03827452659607,256.9743161201477,1
-14.89468240737915,120,461.90364813804626,233.26605033874512,1
-8.77975368499756,120,473.8193392753601,248.63682508468628,1
-9.016460037231447,120,645.662896156311,245.72985744476318,1
-4.79138822555542,120,657.6934843063354,200.03221893310547,1
-7.9780521392822275,120,669.657222032547,218.4941484928131,1
-7.14721097946167,120,681.1660799980164,201.70251893997192,1
-9.492004632949829,120,706.2861230373383,269.8195023536682,1
-8.882119941711426,120,718.7188293933868,217.56807279586792,1
-4.694716358184815,120,731.0213284492493,197.64903688430786,1
-9.60713109970093,120,743.1202895641327,214.4235701560974,1
-7.075868320465088,120,794.5453634262085,208.76634883880615,1
-10.276416301727295,120,806.52787566185,217.88412237167358,1
-8.174550151824953,120,818.0044000148773,228.3817958831787,1
-24.21416449546814,120,12.676481485366821,242.1416449546814,1
-23.519524526596072,120,23.89971113204956,235.1952452659607,1
-19.754153728485107,120,35.03550577163696,197.54153728485107,1
-25.327103853225708,120,46.417943239212036,253.27103853225708,1
-25.825707769393922,120,64.41656112670898,258.2570776939392,1
-31.10752732753754,120,76.16098308563232,311.07527327537537,1
-30.535347962379458,120,86.68776798248291,305.35347962379456,1
-23.827595734596255,120,97.79997491836548,238.27595734596252,1
-23.45640096664429,120,134.67738962173462,234.56400966644287,1
-21.664993572235108,120,146.21356630325317,216.64993572235107,1
-22.7281879901886,120,157.31898283958435,227.281879901886,1
-21.81587517261505,120,168.0382945537567,218.1587517261505,1
-26.532390904426578,120,204.78142738342285,265.32390904426575,1
-22.08269729614258,120,216.5429401397705,220.82697296142578,1
-26.672546815872195,120,227.5458984375,266.7254681587219,1
-29.425567770004275,120,238.19567441940308,294.2556777000427,1
-25.854643082618715,120,249.6570689678192,258.54643082618713,1
-30.36151900291443,120,273.5412538051605,303.6151900291443,1
